Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2028,66,10025.52,10025.52,7784.04,0.00,4190.06,85938.0
2029,67,19410.36,19410.36,7784.04,0.00,9035.06,84886.0
2030,68,19410.36,19410.36,7784.04,0.00,9035.06,83744.0
2031,69,19410.36,19410.36,7784.04,0.00,9035.06,82507.0
2032,70,19410.36,19410.36,7784.04,0.00,9035.06,81167.0
2033,71,19410.36,19410.36,7784.04,0.00,9035.06,79717.0
2034,72,19410.36,19410.36,7784.04,0.00,9035.06,78147.0
2035,73,19410.36,19410.36,7784.04,0.00,9035.06,76452.0
2036,74,19410.36,19410.36,7784.04,0.00,9035.06,74622.0
2037,75,19929.32,19929.32,8303.00,0.00,9164.80,72651.0
2038,76,20188.80,20188.80,8562.48,0.00,9164.80,70531.0
2039,77,20188.80,20188.80,8562.48,0.00,9164.80,68255.0
2040,78,20188.80,20188.80,8562.48,0.00,9164.80,65818.0
2041,79,20188.80,20188.80,8562.48,0.00,9164.80,63216.0
2042,80,20188.80,20188.80,8562.48,0.00,9164.80,60447.0
