Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2028,66,36366.39,41765.52,39860.04,5399.13,6461.79,85938.0
2029,67,34460.91,39860.04,39860.04,5399.13,6144.21,84886.0
2030,68,34460.91,39860.04,39860.04,5399.13,6144.21,83744.0
2031,69,34460.91,39860.04,39860.04,5399.13,6144.21,82507.0
2032,70,34460.91,39860.04,39860.04,5399.13,6144.21,81167.0
2033,71,34460.91,39860.04,39860.04,5399.13,6144.21,79717.0
2034,72,34460.91,39860.04,39860.04,5399.13,6144.21,78147.0
2035,73,34460.91,39860.04,39860.04,5399.13,6144.21,76452.0
2036,74,34460.91,39860.04,39860.04,5399.13,6144.21,74622.0
2037,75,34811.11,40379.00,40379.00,5567.89,6105.19,72651.0
2038,76,34986.21,40638.48,40638.48,5652.27,6020.81,70531.0
2039,77,34986.21,40638.48,40638.48,5652.27,6020.81,68255.0
2040,78,34986.21,40638.48,40638.48,5652.27,6020.81,65818.0
2041,79,34986.21,40638.48,40638.48,5652.27,6020.81,63216.0
2042,80,34986.21,40638.48,40638.48,5652.27,6020.81,60447.0
