Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2027,65,21107.26,21107.26,19799.73,0.00,106105.44,86908.0
2028,66,26059.12,26858.78,24653.30,799.66,103098.28,85938.0
2029,67,25053.18,25767.11,24365.63,713.93,98157.14,84886.0
2030,68,25128.55,25813.35,24267.87,684.80,93338.31,83744.0
2031,69,25097.71,25749.06,24155.58,651.35,88299.20,82507.0
2032,70,24935.80,25498.03,23856.55,562.23,83073.85,81167.0
2033,71,24994.26,25515.09,23717.61,520.83,77827.52,79717.0
2034,72,24965.32,25443.29,23573.81,477.97,72255.56,78147.0
2035,73,24742.60,25128.40,23186.92,385.80,66431.12,76452.0
2036,74,24614.79,24945.03,22811.55,330.24,60562.42,74622.0
2037,75,24924.99,25277.85,22964.37,352.86,54694.16,72651.0
2038,76,24983.36,25313.01,22807.53,329.65,48454.63,70531.0
2039,77,24834.34,25102.66,22393.18,268.32,41973.06,68255.0
2040,78,24651.00,24852.04,21938.56,201.04,35281.75,65818.0
2041,79,24488.40,24621.58,21480.10,133.18,28389.90,63216.0
2042,80,24306.70,24368.72,20999.24,62.02,21290.72,60447.0
2043,81,24106.28,24106.28,20496.80,0.00,13997.44,57510.0
2044,82,19112.12,19112.12,15250.64,0.00,8076.38,54409.0
2045,83,19720.80,19720.80,12594.48,0.00,6586.80,51150.0
2046,84,21700.80,21700.80,12594.48,0.00,6916.80,47745.0
2047,85,21700.80,21700.80,12594.48,0.00,6916.80,44208.0
