Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2028,66,63018.01,83897.52,81656.04,20879.51,10503.41,85938.0
2029,67,60776.53,81656.04,81656.04,20879.51,10129.83,84886.0
2030,68,60776.53,81656.04,81656.04,20879.51,10129.83,83744.0
2031,69,60776.53,81656.04,81656.04,20879.51,10129.83,82507.0
2032,70,60776.53,81656.04,81656.04,20879.51,10129.83,81167.0
2033,71,60776.53,81656.04,81656.04,20879.51,10129.83,79717.0
2034,72,60776.53,81656.04,81656.04,20879.51,10129.83,78147.0
2035,73,60776.53,81656.04,81656.04,20879.51,10129.83,76452.0
2036,74,60776.53,81656.04,81656.04,20879.51,10129.83,74622.0
2037,75,61090.76,82175.00,82175.00,21084.24,10054.84,72651.0
2038,76,61210.24,82372.32,82372.32,21162.08,9966.64,70531.0
2039,77,61192.38,82342.80,82342.80,21150.42,9973.38,68255.0
2040,78,61195.06,82347.24,82347.24,21152.18,9972.36,65818.0
2041,79,61194.62,82346.52,82346.52,21151.90,9972.52,63216.0
2042,80,61194.69,82346.64,82346.64,21151.95,9972.49,60447.0
