Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2022,60,23680.97,31754.96,46982.56,8073.99,423900.80,90729.0
2023,61,29633.79,36360.52,42443.94,6726.73,428143.49,90084.0
2024,62,28137.40,34221.74,40384.59,6084.34,435512.99,89385.0
2025,63,29405.97,35854.00,41818.61,6448.03,442841.41,88626.0
2026,64,29366.04,35761.52,41807.30,6395.48,450510.93,87802.0
2027,65,50947.76,67023.58,72891.36,16075.82,451122.78,86908.0
2028,66,49623.82,64718.17,70539.11,15094.35,436663.84,85938.0
2029,67,48882.77,63541.55,69570.71,14658.78,423523.18,84886.0
2030,68,48305.99,62402.12,68292.68,14096.13,410933.71,83744.0
2031,69,54420.16,61269.53,49127.04,6849.37,405594.77,82507.0
2032,70,57498.14,60177.13,31680.37,2678.99,392741.72,81167.0
2033,71,55819.17,59221.69,32021.09,3402.52,380209.90,79717.0
2034,72,56302.98,58309.48,27367.50,2006.50,369766.40,78147.0
2035,73,46960.69,46960.69,17147.42,0.00,360440.58,76452.0
2036,74,52550.49,52550.49,14328.00,0.00,361202.12,74622.0
2037,75,55367.45,55367.45,14848.00,0.00,361493.03,72651.0
2038,76,56050.56,56050.56,15108.00,0.00,361440.22,70531.0
2039,77,56565.44,56565.44,15108.00,0.00,361322.84,68255.0
2040,78,56674.31,56674.31,15108.00,0.00,361074.95,65818.0
2041,79,57130.72,57130.72,15108.00,0.00,361040.04,63216.0
2042,80,57554.01,57554.01,15108.00,0.00,360940.53,60447.0
