Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2027,65,18331.10,18331.10,6892.69,0.00,54812.10,86908.0
2028,66,32150.66,32150.66,11816.04,0.00,52861.66,85938.0
2029,67,30530.19,30530.19,11816.04,0.00,46242.32,84886.0
2030,68,30343.28,30343.28,11816.04,0.00,39700.85,83744.0
2031,69,29925.90,29925.90,11816.04,0.00,32811.01,82507.0
2032,70,29449.24,29449.24,11816.04,0.00,25768.64,81167.0
2033,71,28950.54,28950.54,11816.04,0.00,18529.35,79717.0
2034,72,25533.73,25533.73,11816.04,0.00,11175.83,78147.0
2035,73,20922.36,20922.36,11816.04,0.00,6787.06,76452.0
2036,74,20922.36,20922.36,11816.04,0.00,6787.06,74622.0
2037,75,21441.32,21441.32,12335.00,0.00,6916.80,72651.0
2038,76,21700.80,21700.80,12594.48,0.00,6916.80,70531.0
2039,77,21700.80,21700.80,12594.48,0.00,6916.80,68255.0
