Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2027,65,21107.26,21107.26,15507.59,0.00,108676.26,86908.0
2028,66,29006.78,29006.78,21271.17,0.00,105195.72,85938.0
2029,67,27459.11,27459.11,22101.85,0.00,100171.86,84886.0
2030,68,26941.35,26941.35,22129.33,0.00,95262.73,83744.0
2031,69,26817.06,26817.06,22134.62,0.00,90220.35,82507.0
2032,70,26518.03,26518.03,22116.65,0.00,84980.42,81167.0
2033,71,26379.09,26379.09,22079.73,0.00,79715.93,79717.0
2034,72,26259.29,26259.29,21829.69,0.00,74200.85,78147.0
2035,73,25992.40,25992.40,21278.45,0.00,68409.66,76452.0
2036,74,25893.03,25893.03,20663.11,0.00,62554.56,74622.0
2037,75,26357.85,26357.85,20704.78,0.00,56642.14,72651.0
2038,76,26441.01,26441.01,20592.88,0.00,50380.06,70531.0
2039,77,26206.66,26206.66,20224.28,0.00,43910.90,68255.0
2040,78,25944.04,25944.04,19800.09,0.00,37238.17,65818.0
2041,79,25689.58,25689.58,19369.68,0.00,30373.88,63216.0
2042,80,25424.72,25424.72,18907.93,0.00,23313.96,60447.0
2043,81,25150.28,25150.28,18416.42,0.00,16059.68,57510.0
2044,82,20156.12,20156.12,16831.43,0.00,8745.02,54409.0
2045,83,18532.80,18532.80,14960.72,0.00,6388.80,51150.0
2046,84,19936.80,19936.80,13213.66,0.00,6622.80,47745.0
2047,85,21244.80,21244.80,12594.48,0.00,6840.80,44208.0
