Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2028,66,18101.52,18101.52,15860.04,0.00,11716.92,85938.0
2029,67,21942.36,21942.36,15860.04,0.00,12357.06,84886.0
2030,68,21942.36,21942.36,15860.04,0.00,12357.06,83744.0
2031,69,21942.36,21942.36,15860.04,0.00,12357.06,82507.0
2032,70,21942.36,21942.36,15860.04,0.00,12357.06,81167.0
2033,71,21942.36,21942.36,15860.04,0.00,12357.06,79717.0
2034,72,21942.36,21942.36,15860.04,0.00,12357.06,78147.0
2035,73,21942.36,21942.36,15860.04,0.00,12357.06,76452.0
2036,74,21942.36,21942.36,15860.04,0.00,12357.06,74622.0
2037,75,22461.32,22461.32,16379.00,0.00,12486.80,72651.0
2038,76,22720.80,22720.80,16638.48,0.00,12486.80,70531.0
2039,77,22720.80,22720.80,16638.48,0.00,12486.80,68255.0
2040,78,22720.80,22720.80,16638.48,0.00,12486.80,65818.0
2041,79,22720.80,22720.80,16638.48,0.00,12486.80,63216.0
2042,80,22720.80,22720.80,16638.48,0.00,12486.80,60447.0
