Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2028,66,20335.52,20335.52,18094.04,0.00,7067.68,85938.0
2029,67,22771.52,22771.52,18094.04,0.00,8322.92,84886.0
2030,68,22771.52,22771.52,18094.04,0.00,8322.92,83744.0
2031,69,22771.52,22771.52,18094.04,0.00,8322.92,82507.0
2032,70,22771.52,22771.52,18094.04,0.00,8322.92,81167.0
2033,71,22771.52,22771.52,18094.04,0.00,8322.92,79717.0
2034,72,22771.52,22771.52,18094.04,0.00,8322.92,78147.0
2035,73,22771.52,22771.52,18094.04,0.00,8322.92,76452.0
2036,74,22771.52,22771.52,18094.04,0.00,8322.92,74622.0
2037,75,23290.48,23290.48,18613.00,0.00,8452.66,72651.0
2038,76,23549.96,23549.96,18872.48,0.00,8452.66,70531.0
2039,77,23549.96,23549.96,18872.48,0.00,8452.66,68255.0
2040,78,23549.96,23549.96,18872.48,0.00,8452.66,65818.0
2041,79,23549.96,23549.96,18872.48,0.00,8452.66,63216.0
2042,80,23549.96,23549.96,18872.48,0.00,8452.66,60447.0
