Year,Age,Net Cash,Cash Generated,Taxable Income,Tax Payable,Net Worth,Survival Chances
2028,66,23759.41,24134.52,21893.04,375.11,8547.31,85938.0
2029,67,24299.41,24674.52,21893.04,375.11,8637.31,84886.0
2030,68,24299.41,24674.52,21893.04,375.11,8637.31,83744.0
2031,69,24299.41,24674.52,21893.04,375.11,8637.31,82507.0
2032,70,24299.41,24674.52,21893.04,375.11,8637.31,81167.0
2033,71,24299.41,24674.52,21893.04,375.11,8637.31,79717.0
2034,72,24299.41,24674.52,21893.04,375.11,8637.31,78147.0
2035,73,24299.41,24674.52,21893.04,375.11,8637.31,76452.0
2036,74,24299.41,24674.52,21893.04,375.11,8637.31,74622.0
2037,75,24663.72,25193.48,22412.00,529.76,8612.40,72651.0
2038,76,24845.88,25452.96,22671.48,607.08,8535.08,70531.0
2039,77,24845.88,25452.96,22671.48,607.08,8535.08,68255.0
2040,78,24845.88,25452.96,22671.48,607.08,8535.08,65818.0
2041,79,24845.88,25452.96,22671.48,607.08,8535.08,63216.0
2042,80,24845.88,25452.96,22671.48,607.08,8535.08,60447.0
